"ID","X","Y","state","OAK","PINE","MAPLE","BIRCH","HEMLOCK","TAMARACK","POPLAR/TULIP.POPLAR","CEDAR/JUNIPER","BEECH","ELM","SPRUCE","BASSWOOD","ASH","FIR","IRONWOOD","HICKORY","OTHER.HARDWOOD","WALNUT","BLACK.GUM/SWEET.GUM"
2979,77000,1414000,"minnesota",0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
2980,85000,1414000,"minnesota",1,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0
2981,93000,1414000,"minnesota",0,1,0,1,0,9,4,3,0,3,1,0,2,1,0,0,0,0,0
2982,101000,1414000,"minnesota",0,12,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0
2983,109000,1414000,"minnesota",0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2984,117000,1414000,"minnesota",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2985,125000,1414000,"minnesota",0,2,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0
2986,133000,1414000,"minnesota",0,8,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2987,141000,1414000,"minnesota",0,12,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0
2988,149000,1414000,"minnesota",0,11,0,4,0,4,0,7,0,0,3,0,7,0,0,0,0,0,0
2989,157000,1414000,"minnesota",0,0,0,1,0,6,4,8,1,0,3,0,2,1,0,0,0,0,0
3263,-19000,1406000,"minnesota",5,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0
3264,-11000,1406000,"minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3265,-3000,1406000,"minnesota",4,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
3266,5000,1406000,"minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3267,13000,1406000,"minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3268,21000,1406000,"minnesota",1,0,0,0,0,1,10,0,0,0,0,1,0,0,0,0,0,0,0
3269,29000,1406000,"minnesota",1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
3270,37000,1406000,"minnesota",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
3271,45000,1406000,"minnesota",0,0,0,0,0,2,28,0,0,0,3,0,0,0,0,0,0,0,0
3272,53000,1406000,"minnesota",2,0,0,0,0,19,6,0,0,0,2,0,0,0,0,0,0,0,0
3273,61000,1406000,"minnesota",2,0,0,0,0,6,6,0,0,0,0,0,0,2,0,0,0,0,0
3274,69000,1406000,"minnesota",0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0
3275,77000,1406000,"minnesota",0,0,0,1,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0
3276,85000,1406000,"minnesota",1,0,0,0,0,9,4,1,0,1,0,0,0,0,0,0,0,0,0
3277,93000,1406000,"minnesota",0,6,0,0,0,7,10,1,0,0,2,0,0,0,0,0,0,0,0
3278,101000,1406000,"minnesota",0,4,0,0,0,3,2,0,0,1,1,0,0,1,0,0,0,0,0
3279,109000,1406000,"minnesota",0,3,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0
3280,117000,1406000,"minnesota",0,1,0,0,0,8,1,2,0,0,0,0,0,2,0,0,0,0,0
3281,125000,1406000,"minnesota",0,13,0,0,0,9,1,1,0,0,1,0,0,0,0,0,0,0,0
3282,133000,1406000,"minnesota",0,5,0,0,0,18,0,6,0,0,3,0,0,0,0,0,0,0,0
3283,141000,1406000,"minnesota",0,2,0,0,0,10,0,6,0,0,3,0,0,0,0,0,0,0,0
3284,149000,1406000,"minnesota",0,2,0,3,0,15,1,2,0,0,1,0,0,0,0,0,0,0,0
3285,157000,1406000,"minnesota",0,4,0,7,0,8,1,8,0,2,7,0,0,6,0,0,0,0,0
3286,165000,1406000,"minnesota",0,1,0,2,0,18,10,2,0,1,5,0,1,5,0,0,0,0,0
3287,173000,1406000,"minnesota",0,0,0,1,0,9,2,0,0,0,9,0,0,5,0,0,0,0,0
3288,181000,1406000,"minnesota",0,0,0,2,0,2,10,2,0,0,0,0,0,0,0,0,0,0,0
3559,-19000,1398000,"minnesota",13,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0
3560,-11000,1398000,"minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3561,-3000,1398000,"minnesota",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
3562,5000,1398000,"minnesota",2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
3563,13000,1398000,"minnesota",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
3564,21000,1398000,"minnesota",1,0,0,0,0,2,12,0,0,4,0,0,0,0,0,0,0,0,0
3565,29000,1398000,"minnesota",2,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
3566,37000,1398000,"minnesota",5,0,0,0,0,6,35,0,0,0,2,0,0,0,0,0,0,0,0
3567,45000,1398000,"minnesota",1,0,0,1,0,15,15,0,0,0,14,0,0,0,0,0,0,0,0
3568,53000,1398000,"minnesota",2,0,0,0,0,9,13,0,0,0,1,0,0,0,0,0,0,0,0
3569,61000,1398000,"minnesota",0,1,0,0,0,10,1,0,0,0,5,0,0,0,0,0,0,0,0
3570,69000,1398000,"minnesota",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
3571,77000,1398000,"minnesota",0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
3572,85000,1398000,"minnesota",0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0
3573,93000,1398000,"minnesota",0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3574,101000,1398000,"minnesota",0,0,0,1,0,3,3,2,0,0,1,0,0,0,0,0,0,0,0
3575,109000,1398000,"minnesota",0,1,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0
3576,117000,1398000,"minnesota",0,1,0,2,0,17,3,2,0,0,0,0,0,1,0,0,0,0,0
3577,125000,1398000,"minnesota",0,5,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0
3578,133000,1398000,"minnesota",0,14,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,0
3579,141000,1398000,"minnesota",0,12,0,0,0,11,0,2,0,0,2,0,0,0,0,0,0,0,0
3580,149000,1398000,"minnesota",0,0,0,0,0,16,0,5,0,0,2,0,0,0,0,0,0,0,0
3581,157000,1398000,"minnesota",0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0
3582,165000,1398000,"minnesota",0,1,0,2,0,14,3,0,0,0,7,0,0,7,0,0,0,0,0
3583,173000,1398000,"minnesota",0,0,0,4,0,7,0,10,0,0,2,0,1,0,0,0,0,0,0
3584,181000,1398000,"minnesota",0,0,1,0,0,5,2,0,0,1,11,0,0,0,0,0,0,0,0
3585,189000,1398000,"minnesota",0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0
3855,-19000,1390000,"minnesota",8,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
3856,-11000,1390000,"minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3857,-3000,1390000,"minnesota",1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
3858,5000,1390000,"minnesota",2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
3859,13000,1390000,"minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3860,21000,1390000,"minnesota",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
