# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_v6_model
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp.dump
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = ../output/12taxa_mid_comp_long.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
# Adaptation terminated
# Step size = 0.0249201
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-6719.51,0.989005,0.0249201,2,0,34.1273,7.73401,68.7474,36.5606,13.2939,9.91475,31.3198,9.05073,36.5978,72.8465,36.4735,3.44354,0.214188,0.286072
-6718.1,0.97796,0.0249201,2,0,34.9842,7.18301,64.4368,32.0788,12.4579,10.476,30.012,8.10167,35.2919,76.255,33.527,3.45302,0.223798,0.278374
-6719.39,0.968858,0.0249201,2,0,32.0179,7.18002,64.6568,34.6742,13.0633,9.51581,29.6262,7.78957,33.8548,70.0084,30.5018,3.50383,0.211182,0.260591
-6721.27,0.863287,0.0249201,3,0,42.9024,9.69001,67.7942,32.1988,12.6696,10.8529,30.8705,7.73105,34.5408,72.2885,32.2254,2.58158,0.208294,0.279482
-6726.22,0.734309,0.0249201,3,0,36.7449,12.1296,75.6283,38.2138,15.4256,10.3486,33.0129,8.72211,38.211,86.2994,35.6109,4.48501,0.200158,0.269936
-6720.23,0.947079,0.0249201,2,0,40.2501,11.9557,72.9383,33.3992,14.9103,11.2243,34.9803,8.01052,39.9162,79.7213,37.9132,3.89851,0.214177,0.278267
-6725.01,0.929338,0.0249201,2,0,40.3701,12.3394,75.4915,32.6666,14.6237,11.5586,33.5972,7.9415,40.9452,79.8602,38.312,4.05981,0.210527,0.292541
-6721.7,0.779203,0.0249201,2,0,40.6411,7.92692,71.6462,41.4773,13.7394,10.4992,33.2469,8.35368,36.0423,78.9428,32.7835,2.82285,0.204969,0.244786
-6717.6,1,0.0249201,2,0,39.496,7.6285,69.9198,33.7782,15.0527,10.7749,34.1871,7.82002,40.1781,79.4211,35.3648,3.26392,0.214277,0.285614
-6719.36,0.871336,0.0249201,2,0,42.7186,6.89485,73.8378,38.0478,15.2268,10.4749,32.3486,8.36148,36.9888,83.3787,34.1667,3.21633,0.209406,0.249294
-6721.08,0.958421,0.0249201,2,0,45.2611,6.79751,75.266,39.2009,14.6402,10.992,33.0915,8.81514,37.7767,79.4527,34.4827,3.16688,0.205307,0.25517
-6722.35,0.94975,0.0249201,2,0,44.7854,6.63585,68.4989,34.079,14.6463,10.6042,33.3556,8.35899,40.0263,82.8475,36.5069,3.34537,0.221871,0.277511
-6723.02,0.999119,0.0249201,3,0,38.0509,12.1297,71.0283,33.1582,11.5244,9.71024,29.3723,8.28013,34.6915,75.6973,32.5414,3.40943,0.209697,0.248603
-6721.54,0.960988,0.0249201,2,0,35.0404,10.656,61.5148,32.9752,12.9589,9.13315,31.9397,8.14835,36.1652,72.8882,34.1461,3.42325,0.21542,0.274627
-6718.31,0.981994,0.0249201,3,0,44.0015,8.38285,68.7084,32.654,13.6753,11.0029,33.8584,8.047,40.39,81.5516,33.5092,3.36515,0.209615,0.266944
-6713.78,0.950399,0.0249201,2,0,42.2567,8.61631,69.4133,35.0523,12.5272,11.0901,32.5289,7.39162,36.6797,78.2288,33.5661,3.37221,0.210248,0.270395
-6715.86,0.832613,0.0249201,2,0,37.2125,8.47849,66.3866,34.3662,11.9938,10.2755,30.3279,7.94794,38.1153,74.933,35.2936,3.52893,0.211929,0.259987
-6718.15,0.97633,0.0249201,3,0,45.2543,9.21353,68.7024,36.476,16.1046,11.2017,34.8376,8.44895,38.4349,80.3327,33.1753,3.53991,0.214686,0.275053
-6718.86,0.95664,0.0249201,2,0,42.8331,9.59406,74.5583,38.9525,13.1912,12.4523,33.4308,8.40303,39.2559,83.4438,35.6521,3.49674,0.202578,0.242213
-6718.55,1,0.0249201,2,0,43.8457,9.35417,75.6542,38.4875,13.0548,12.4059,34.4873,8.28148,39.016,83.8525,35.1346,3.39849,0.202308,0.243725
-6720.68,0.795133,0.0249201,2,0,36.1553,11.1638,70.3413,35.7189,15.9427,10.2931,32.7211,8.18721,40.3307,76.3634,33.5585,2.9997,0.215153,0.272009
-6718.83,0.979311,0.0249201,2,0,36.759,11.3257,70.2085,37.1397,16.1214,10.57,32.6167,8.17529,39.3484,78.4786,33.8075,2.98273,0.21564,0.28597
-6719.95,0.980737,0.0249201,3,0,41.3431,8.70491,67.6837,33.3759,10.8797,10.5959,33.2678,8.24657,38.7508,78.6288,33.271,2.82229,0.205567,0.247715
-6717.25,0.995667,0.0249201,2,0,38.5746,8.52119,71.9362,36.8335,11.7377,10.5098,33.0699,8.61807,36.7951,80.0093,35.1153,2.85337,0.203289,0.262019
-6718.04,0.915358,0.0249201,2,0,45.3077,8.19202,67.8748,34.7559,15.2088,10.7791,31.819,8.23461,38.3782,79.6235,36.8313,3.63872,0.214726,0.264479
-6716,0.993354,0.0249201,2,0,39.2696,8.52358,68.7851,35.1373,14.2249,9.42481,32.3226,8.29835,37.5454,76.2402,37.8228,3.71609,0.211956,0.274882
-6716.48,0.904545,0.0249201,2,0,40.2989,8.42744,66.4331,36.8541,14.5383,9.64587,32.3029,9.098,38.6087,79.4624,34.2069,3.33497,0.203873,0.256948
-6721.12,0.666109,0.0249201,2,0,40.3424,9.54825,70.166,31.3773,15.4635,9.16174,31.3295,8.79615,35.3396,77.2569,30.5154,3.74715,0.21072,0.265874
-6719.42,0.995793,0.0249201,2,0,38.1656,9.65814,63.9748,32.9245,15.9999,10.5205,30.3078,8.7391,35.9977,73.7114,30.8433,3.68184,0.22122,0.270927
-6719.3,0.934909,0.0249201,2,0,38.7848,9.77628,65.564,32.3603,15.6343,10.3263,30.3994,9.20477,35.5491,72.3732,30.207,3.70083,0.21756,0.275781
-6717.1,0.836492,0.0249201,2,0,38.4583,8.84418,68.6493,34.9134,14.6415,9.67331,30.1463,8.71244,36.482,78.305,35.4793,3.48526,0.222062,0.266969
-6712.64,0.975182,0.0249201,2,0,39.7924,8.96815,69.1625,35.8111,14.8346,10.4261,31.7741,7.57088,36.6359,77.0997,32.3431,3.47051,0.210361,0.270824
-6712.64,0.88438,0.0249201,2,0,39.7924,8.96815,69.1625,35.8111,14.8346,10.4261,31.7741,7.57088,36.6359,77.0997,32.3431,3.47051,0.210361,0.270824
-6722.44,0.83327,0.0249201,2,0,41.1607,8.50791,73.4076,39.8033,14.3165,9.81694,34.6684,6.38147,40.0533,82.3109,31.5724,3.62157,0.214167,0.276574
-6721.44,0.819491,0.0249201,3,0,41.8406,8.87845,69.8749,34.8416,15.3547,12.4478,34.7439,9.97127,37.5878,82.5204,38.6479,3.79871,0.205941,0.267897
-6715.87,1,0.0249201,3,0,41.8296,12.2078,72.1112,35.8878,13.7373,10.4247,34.258,7.47938,39.2646,81.7822,34.5964,3.25874,0.20672,0.264949
-6717.83,0.876106,0.0249201,3,0,39.5133,10.1415,72.4314,36.7312,14.9734,11.862,34.372,9.99004,39.7734,80.5952,35.0602,3.96752,0.205032,0.279501
-6715.61,0.929462,0.0249201,2,0,41.7077,9.66643,70.1343,36.736,14.6479,10.3542,32.2671,9.6959,37.0624,81.5726,35.4157,3.6782,0.213494,0.266827
-6716.49,0.965179,0.0249201,3,0,40.6974,10.4703,67.9669,36.2039,16.1488,10.6206,33.2365,8.88801,38.416,77.8849,36.6274,3.70763,0.20802,0.264634
-6717.97,0.986739,0.0249201,2,0,37.2075,10.9214,69.9115,36.1832,17.1899,11.1221,32.7115,8.17413,37.993,82.0439,34.6216,3.75072,0.211313,0.264125
-6716.6,0.880652,0.0249201,1,0,38.6048,10.212,70.2891,34.61,15.8411,10.6499,34.0453,8.37646,36.4653,79.2948,35.1202,3.6704,0.206323,0.281558
-6720.31,0.837714,0.0249201,2,0,37.2896,9.91844,70.0538,34.5688,15.6172,9.90079,32.0046,7.7218,36.2585,76.6252,39.5957,3.28004,0.2017,0.262991
-6719.5,1,0.0249201,2,0,42.6705,10.2197,68.5087,35.1354,16.7363,11.7632,32.5596,7.68588,37.7534,80.5431,35.2459,3.31088,0.219525,0.267001
-6715.49,0.855761,0.0249201,3,0,41.1416,9.62321,70.8672,38.2752,16.3939,11.1156,34.0134,8.33823,38.6385,79.7067,35.2579,3.28868,0.217263,0.276469
-6718.97,0.864509,0.0249201,2,0,42.8654,9.78519,74.1557,36.6647,14.7743,11.502,36.0612,7.78803,40.7344,83.8759,35.5612,2.7905,0.200971,0.242678
-6719.73,0.949247,0.0249201,2,0,43.2006,10.851,72.8004,41.4271,15.3961,10.7734,34.858,8.1019,39.8071,84.568,34.5731,2.89117,0.199047,0.26416
-6721.49,0.794608,0.0249201,2,0,40.3869,10.0801,73.3798,36.3911,13.7961,11.5054,35.5284,7.48256,38.1409,84.5243,41.4341,2.98168,0.213656,0.2637
-6716.94,0.947,0.0249201,2,0,36.707,9.56323,64.8313,35.2006,14.573,10.3631,31.4108,8.66547,37.387,76.4977,30.0459,3.78716,0.213907,0.274883
-6715.68,0.990596,0.0249201,3,0,39.3962,8.75174,75.5983,36.8946,13.3869,10.6708,32.9706,9.26115,37.6158,82.0377,33.0845,3.1355,0.211194,0.273353
-6714.48,0.995766,0.0249201,2,0,40.0165,8.78352,73.6583,36.863,13.4389,11.1294,33.5645,9.04186,38.9197,80.0321,35.8658,3.15636,0.204648,0.274488
-6715.86,0.990128,0.0249201,2,0,40.4311,8.529,68.08,35.921,11.821,10.2469,32.231,8.90564,36.8442,79.5488,33.2238,3.29933,0.218192,0.258265
-6719.52,0.916543,0.0249201,2,0,37.8129,9.36913,69.1694,35.1657,13.3451,11.6801,32.2946,9.91539,36.5581,73.7227,35.4674,3.61875,0.207473,0.281788
-6716.97,0.967645,0.0249201,2,0,41.0347,8.50643,69.2013,37.8922,14.034,11.9638,32.8399,9.67965,37.9664,82.5186,36.0454,3.29555,0.215033,0.271361
-6719.17,0.952159,0.0249201,2,0,38.6372,8.24091,75.3624,39.6759,12.7964,10.9138,35.552,8.89903,40.8574,81.9338,33.8569,3.13357,0.201853,0.269492
-6719.22,0.954577,0.0249201,3,0,44.6047,11.0192,75.567,36.6432,14.3689,11.7784,32.7004,9.48711,37.8609,81.0784,37.2459,3.86994,0.217138,0.271672
-6720.63,0.911579,0.0249201,2,0,46.1472,11.2528,72.315,35.4565,15.4248,11.498,32.7075,9.56104,38.0696,83.6,34.677,3.91178,0.205265,0.272808
-6724.4,0.815047,0.0249201,2,0,37.1896,10.102,73.7368,39.9524,14.1213,11.1171,32.2852,6.69412,41.486,85.0202,37.2482,3.60959,0.21784,0.274007
-6719.55,1,0.0249201,3,0,42.1965,7.7578,64.8628,34.8819,14.1632,10.0762,30.1636,9.35822,37.1306,73.6443,32.3997,3.45411,0.209299,0.249601
-6716.39,0.952767,0.0249201,2,0,39.3983,7.6776,67.526,36.1574,15.4409,10.5802,31.8272,9.25146,35.1652,75.8491,31.3592,3.5823,0.210672,0.265309
-6718.14,0.917478,0.0249201,3,0,37.2723,8.05581,68.4637,33.5612,11.241,10.1802,31.1038,7.67404,35.8198,77.1722,34.7674,2.72652,0.219889,0.269761
-6721.14,0.734661,0.0249201,2,0,40.0665,8.60286,65.7154,37.6514,12.2992,9.70607,31.014,8.32371,34.4441,70.9518,36.2929,2.96588,0.206738,0.277326
-6715.75,0.97107,0.0249201,2,0,39.7468,8.43401,65.9236,37.2409,12.9407,9.71019,32.48,7.73496,36.202,78.1285,33.5063,3.13141,0.216547,0.273689
-6718.5,0.952821,0.0249201,2,0,42.0371,8.47224,71.1654,37.552,12.0549,10.3066,31.6904,7.4444,35.6246,75.5504,32.5437,3.09313,0.222834,0.277225
-6726.31,0.778806,0.0249201,2,0,41.6021,7.41287,62.9063,35.6885,10.9509,10.413,30.2899,6.02103,36.1035,76.1499,37.0183,3.47138,0.210714,0.26209
-6725.38,0.925441,0.0249201,1,0,41.7242,7.58627,64.1705,35.877,11.003,11.0843,29.374,6.16064,35.8462,74.1059,36.0629,3.53704,0.210489,0.260936
-6716.3,0.997718,0.0249201,2,0,33.5629,7.65665,66.6778,33.9779,14.7744,10.3808,31.3058,7.82777,34.819,74.4574,32.1346,3.57182,0.209902,0.269089
-6715.26,0.981426,0.0249201,2,0,40.6189,8.76066,67.2758,35.6165,12.1286,11.2528,30.8446,7.29248,37.3135,77.7515,34.2875,3.52365,0.214002,0.260876
-6714.45,0.89634,0.0249201,2,0,41.1322,8.49911,69.2876,34.905,12.3085,11.1949,32.3061,7.16542,36.9481,79.8834,33.6951,3.45135,0.210545,0.262707
-6715.03,0.948221,0.0249201,2,0,39.9908,8.67707,70.9215,34.3915,12.0493,11.1406,32.1714,7.18136,37.5899,80.1961,34.06,3.50024,0.214735,0.265546
-6721.56,0.889818,0.0249201,3,0,37.9723,7.30258,66.2213,34.7619,11.0034,11.0922,31.7111,6.32085,36.1847,72.9655,35.8073,3.47665,0.213769,0.270349
-6721.56,0.55415,0.0249201,2,0,37.9723,7.30258,66.2213,34.7619,11.0034,11.0922,31.7111,6.32085,36.1847,72.9655,35.8073,3.47665,0.213769,0.270349
-6723.92,0.792325,0.0249201,3,0,40.6118,6.9441,72.8483,34.4793,16.0172,9.93597,33.0753,10.5459,39.3208,78.3244,32.6816,3.66675,0.214581,0.258897
-6718.59,0.984296,0.0249201,3,0,38.1231,9.00015,67.7055,36.2636,11.8491,11.5919,31.966,7.07283,37.7841,73.7318,35.6069,3.59368,0.211008,0.277799
-6716.62,0.967713,0.0249201,2,0,39.6675,8.04018,67.0701,35.4643,11.4814,11.2326,31.5013,8.36731,34.922,78.5015,34.525,3.09982,0.210433,0.259529
-6718.51,0.648348,0.0249201,3,0,38.0069,9.14992,70.9844,35.8849,16.168,10.4172,33.8755,8.38722,37.7912,83.1987,33.552,2.7675,0.215477,0.27522
-6719.12,0.972444,0.0249201,3,0,37.6557,8.77148,71.2896,34.929,15.4061,9.6179,31.6304,8.75253,35.3954,76.3348,33.8759,2.60743,0.208214,0.262168
-6719.46,0.948438,0.0249201,2,0,36.7574,7.58497,65.815,36.2541,15.2028,9.9779,30.577,8.86714,36.5156,76.3329,31.5966,3.02758,0.22551,0.268091
-6718.27,0.991661,0.0249201,2,0,40.7152,8.30934,69.0181,32.1086,12.9304,10.4997,31.2137,7.24483,34.1712,75.3317,34.6525,3.27336,0.206308,0.281182
-6717.94,0.967945,0.0249201,2,0,43.2942,8.82329,68.4357,34.3151,13.979,10.59,32.6057,7.30073,39.4516,77.1189,34.0375,3.2139,0.22135,0.269017
-6719.53,0.743893,0.0249201,2,0,35.6658,10.4905,63.77,34.9662,13.0533,10.4072,31.8539,8.18883,37.9202,73.3532,33.119,2.75681,0.202633,0.253211
-6719.3,1,0.0249201,3,0,36.2868,10.2454,65.7364,33.0235,13.0203,9.56002,29.0112,7.17916,32.37,73.4475,30.0129,3.29083,0.212206,0.247756
-6716.6,0.971905,0.0249201,2,0,38.2941,9.60141,61.5888,33.1234,14.4147,9.94561,30.2005,8.25252,35.9647,72.0977,32.3327,3.05935,0.209593,0.264009
-6718.38,0.876597,0.0249201,2,0,37.5212,9.85396,64.8831,35.044,12.4493,10.6083,30.345,8.05659,33.7312,74.1352,31.753,2.75213,0.206512,0.236381
-6718.61,0.908601,0.0249201,2,0,38.3685,10.2941,62.9677,35.2013,13.136,9.86413,31.3007,8.09436,37.4486,73.3688,32.2852,2.67797,0.204623,0.259273
-6715.3,1,0.0249201,2,0,37.4537,9.3802,71.7411,35.6742,13.6904,10.0879,32.5212,8.28596,35.5209,80.0627,34.3713,3.01566,0.205616,0.254038
-6717.41,0.836065,0.0249201,3,0,41.1825,11.0797,71.5211,34.5117,15.0063,11.2556,33.7843,8.48931,37.4999,77.8482,33.583,3.93464,0.211646,0.292685
-6720.23,0.822987,0.0249201,2,0,40.6259,12.1664,69.7592,37.9184,14.6495,9.89435,31.4799,9.41943,37.3137,78.0829,34.1709,3.81502,0.211532,0.250956
-6717.02,0.951086,0.0249201,2,0,40.712,10.024,69.7177,33.7156,13.7504,11.2511,33.8909,8.79831,38.1914,79.8974,31.3838,3.66026,0.210066,0.285847
-6718.12,0.998914,0.0249201,2,0,41.3657,9.85765,73.1537,40.1094,16.0641,10.3048,34.7039,8.80723,37.6645,84.6967,37.2585,3.18643,0.206956,0.253376
-6715,1,0.0249201,2,0,38.8981,9.80965,71.4194,34.8188,14.1,10.1944,34.1783,8.04894,39.7641,79.6384,33.6905,3.02308,0.205468,0.261279
-6718.96,0.83563,0.0249201,2,0,38.7666,10.4773,68.4594,37.1536,12.0705,11.6841,32.2689,7.89845,34.4176,74.4976,33.8014,3.43339,0.214014,0.258548
-6716.54,0.977241,0.0249201,2,0,39.9528,10.3113,72.5033,37.0321,12.8486,11.1698,31.7589,8.38205,38.3201,80.6373,36.6511,3.06033,0.204946,0.272609
-6715.42,0.921725,0.0249201,3,0,42.3717,10.6682,71.8731,36.5384,13.7035,11.0752,35.3798,9.09403,38.0018,82.2222,34.2423,3.32941,0.202023,0.259944
-6715.06,0.965833,0.0249201,3,0,39.4206,10.9128,68.0701,37.0129,13.5331,10.0544,31.5217,8.55174,38.3827,76.7071,35.2417,3.15569,0.211178,0.26773
-6717.93,0.962087,0.0249201,2,0,36.8874,10.4022,68.1934,33.9968,15.1305,11.6736,32.2377,8.66468,35.1819,78.6192,34.2962,3.06824,0.204077,0.249411
-6717.72,0.963056,0.0249201,2,0,36.5942,10.1815,70.9746,34.1416,15.705,11.2732,32.1172,8.48473,35.105,78.5485,33.9821,3.10919,0.205812,0.251597
-6718.24,0.936395,0.0249201,2,0,42.7608,11.1791,67.3385,37.9814,14.0567,10.6496,33.3498,8.65892,39.2238,77.5337,35.1398,3.12118,0.216364,0.286449
-6717.5,0.934556,0.0249201,2,0,41.9292,8.86054,75.4212,38.0553,14.8224,11.1662,32.6171,6.9356,37.3106,82.1247,36.7473,3.51018,0.211757,0.277359
-6720.34,0.810539,0.0249201,2,0,38.9746,9.47129,66.754,35.5879,14.3894,10.0237,33.5404,7.07388,39.1983,75.9993,37.0986,3.33021,0.220057,0.280545
-6716.11,0.947284,0.0249201,2,0,40.1106,8.04586,73.5282,34.0807,12.5521,10.019,31.8852,7.80144,36.2698,79.2255,33.8012,3.40847,0.206672,0.262093
-6715.9,0.99944,0.0249201,2,0,38.3428,10.154,68.0232,37.4001,14.1701,11.3137,30.8189,7.94498,36.1993,77.6586,34.3306,3.62079,0.218721,0.261496
-6722.26,0.761596,0.0249201,2,0,35.1871,10.1166,71.4498,35.0457,12.8489,11.6461,33.5482,8.40812,37.8794,82.5347,30.0778,3.02348,0.207862,0.278809
-6725.33,0.936647,0.0249201,2,0,37.5111,11.5431,71.1762,31.3006,12.3527,11.6124,30.5954,8.23406,38.8295,75.0232,32.7502,3.17007,0.225265,0.264652
-6723.33,0.997454,0.0249201,2,0,42.2168,9.05548,70.9905,40.4342,14.2008,9.55701,34.0746,8.48654,36.5288,75.8598,33.1991,3.6893,0.196739,0.260849
-6721.48,1,0.0249201,2,0,40.1852,7.62604,73.5853,34.0219,13.8684,11.3421,35.3749,8.4763,41.5231,81.6908,36.2307,3.22334,0.219308,0.256235
-6719.31,0.972062,0.0249201,2,0,38.2067,6.85897,70.5506,39.4005,13.8738,9.72867,32.7008,8.0129,37.326,81.5604,36.2867,3.78086,0.201884,0.26024
-6718.26,1,0.0249201,3,0,39.1131,6.44636,66.1406,31.8792,13.8418,10.9866,31.3981,7.31164,35.9794,77.2962,31.4082,3.06199,0.218792,0.267748
-6715.19,0.98633,0.0249201,3,0,43.2949,8.80572,73.4469,38.5913,14.3808,11.2396,34.7987,9.5612,39.9991,83.5495,38.1835,3.69001,0.21155,0.265159
-6714.63,0.877128,0.0249201,2,0,37.4792,9.6423,75.8985,36.4767,14.3238,10.5344,34.6741,8.39371,39.6877,83.6353,36.0224,3.704,0.210626,0.263593
-6721.32,0.903948,0.0249201,2,0,47.8118,11.6071,68.8904,35.3726,14.2909,11.1906,32.6399,8.81822,36.6862,77.2229,34.3361,4.00125,0.208574,0.274696
-6723.38,0.950577,0.0249201,3,0,31.2042,6.74051,69.4567,36.8266,12.4373,9.86806,30.7806,7.97777,37.0848,75.7794,33.0851,2.82565,0.216366,0.258188
-6717.13,0.997449,0.0249201,3,0,36.4741,7.84464,61.2494,31.6306,11.6313,10.3985,29.7402,7.8382,33.0051,71.2111,32.5248,3.50093,0.21305,0.271958
-6716.04,0.89585,0.0249201,1,0,39.8373,7.97318,65.6321,33.1902,12.9524,9.59422,30.6019,8.11861,33.6756,72.5339,33.2122,3.42744,0.204208,0.259918
-6716.18,1,0.0249201,2,0,34.5311,7.48153,65.8484,34.2663,12.4096,10.7699,30.5998,7.60323,35.6677,73.6873,31.4401,3.04997,0.222294,0.270687
-6718.88,0.780874,0.0249201,3,0,40.7659,11.6691,73.4567,36.0346,14.4068,9.63902,31.9987,8.19159,39.6927,80.5642,32.9092,3.09499,0.208811,0.252172
-6716.89,0.970006,0.0249201,2,0,38.1721,11.0841,70.7669,37.0362,11.8866,11.0381,33.6816,8.85881,36.483,79.0995,36.0757,3.48526,0.214495,0.26948
-6713.8,0.97394,0.0249201,3,0,41.8484,9.383,67.8233,32.7858,13.4702,10.4905,31.6227,8.49836,36.5594,76.6017,32.1348,3.19552,0.214245,0.271637
-6714.64,0.864975,0.0249201,2,0,41.69,9.47737,68.3149,32.5301,13.3222,10.1273,30.8944,8.61477,36.8116,76.3638,34.0559,3.36115,0.217757,0.27004
-6713.27,0.955375,0.0249201,3,0,36.7391,8.14759,70.6505,36.6801,13.7832,11.1425,32.1061,7.68384,37.676,78.4149,34.6078,3.53317,0.211098,0.259235
-6715.94,0.682255,0.0249201,2,0,40.7076,9.23792,72.2077,37.1398,14.0005,10.8853,35.438,8.33684,40.1069,85.8955,36.1426,3.34382,0.205809,0.239304
-6715.17,0.996313,0.0249201,3,0,39.3253,8.99971,69.1952,35.9468,14.7441,11.4653,30.9938,8.35153,37.7407,77.1783,35.5777,3.69253,0.221806,0.278853
-6721.2,0.788494,0.0249201,2,0,38.0365,9.40555,71.3753,34.7383,12.8732,9.61165,33.8123,9.16315,36.0639,74.9318,33.5739,3.65163,0.220923,0.297071
-6720.29,0.999008,0.0249201,2,0,40.7613,8.60787,67.5863,38.0724,13.2649,10.1862,30.0341,7.42687,37.5255,77.6801,30.1819,4.05137,0.213606,0.276771
-6717.49,0.880017,0.0249201,2,0,36.0317,8.89645,67.4412,33.8972,13.6,9.84325,32.4994,7.20192,37.3758,76.4117,33.4141,4.18968,0.216198,0.262287

#  Elapsed Time: 1358.94 seconds (Warm-up)
#                8194.39 seconds (Sampling)
#                9553.33 seconds (Total)

