# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_v6_model
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp.dump
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = ../output/12taxa_mid_comp_long.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
# Adaptation terminated
# Step size = 0.0249201
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-6720.85,0.667543,0.0249201,2,0,44.7341,10.5157,66.1567,33.4164,12.898,9.22768,32.9639,7.72402,36.0494,79.9972,33.7299,3.35149,0.205773,0.258239
-6724.24,0.863776,0.0249201,2,0,45.1255,10.7809,66.9992,34.364,12.8433,9.03751,32.937,7.861,36.8865,82.4401,32.7133,3.36566,0.203381,0.266261
-6717.29,1,0.0249201,2,0,37.3707,8.06437,69.081,36.3601,13.6227,11.4118,30.8538,7.76013,36.6322,79.3918,32.6824,3.40122,0.205853,0.236215
-6717.81,0.953203,0.0249201,2,0,38.273,8.98341,66.1819,33.2484,14.2064,10.0038,29.8072,7.81897,36.9584,73.8229,32.5777,4.04732,0.218932,0.29201
-6715.96,0.948943,0.0249201,2,0,37.2723,8.26388,69.1432,33.3802,12.9682,11.176,30.4348,7.56703,33.9587,74.7082,32.9966,3.65969,0.219038,0.265208
-6718.28,0.957987,0.0249201,3,0,41.5775,11.2913,71.2958,39.3998,14.7952,10.343,33.1954,8.66383,35.9197,78.0851,35.283,3.0324,0.206008,0.258995
-6719.37,0.889166,0.0249201,3,0,41.0757,8.75409,65.5061,37.7662,12.8478,11.8316,33.0758,7.71843,38.193,74.9417,35.2247,3.92879,0.209642,0.263631
-6717.66,1,0.0249201,2,0,40.2268,8.94107,68.4475,35.3803,13.0342,11.5887,32.4174,7.98838,39.1856,79.64,35.1493,4.04488,0.20289,0.239162
-6715.61,0.938462,0.0249201,2,0,40.2763,9.1208,70.6089,38.1619,12.2812,10.9701,33.066,8.03419,35.9049,80.7792,33.1639,3.58464,0.2125,0.254941
-6717.25,0.763561,0.0249201,3,0,37.5732,7.93905,73.0082,37.4898,12.9989,12.2617,34.0288,8.10243,38.3289,83.2176,33.2617,3.76373,0.216416,0.265768
-6716.09,0.531404,0.0249201,2,0,41.0558,8.89453,71.3574,37.2479,14.0388,11.0998,32.3149,7.11411,39.1942,81.5603,35.5018,4.04549,0.211201,0.277295
-6718.8,0.7468,0.0249201,2,0,39.8309,8.71819,73.661,37.0543,13.6854,11.7739,32.7016,7.19429,40.847,79.9442,34.6189,4.24196,0.214752,0.272708
-6720.41,0.694289,0.0249201,2,0,42.9677,6.9328,73.7698,37.9132,16.2089,10.7424,35.0976,9.81298,39.7689,83.2127,37.6205,2.84994,0.20619,0.266336
-6724.08,0.824509,0.0249201,2,0,46.6522,7.05559,74.4575,36.9554,17.498,11.003,35.0798,9.422,39.1477,83.1973,36.1839,3.0014,0.199705,0.267317
-6716.4,0.965075,0.0249201,2,0,41.64,7.98703,74.0792,37.2539,15.3514,10.5415,34.5588,8.97541,41.3548,85.0245,34.561,3.20562,0.216268,0.272863
-6716.06,0.758358,0.0249201,2,0,41.2397,9.57452,71.0871,37.4637,14.9281,11.4151,31.9607,8.63765,37.1034,79.5885,34.2014,2.80112,0.209285,0.255183
-6721.08,0.816317,0.0249201,2,0,41.6238,10.0141,70.9932,38.8094,14.8532,11.8434,31.4278,8.75649,37.119,79.4411,33.6812,2.67492,0.2017,0.260303
-6716.86,0.998675,0.0249201,3,0,38.4152,11.1733,69.8867,34.347,12.4269,10.5802,33.4827,8.78666,39.2648,80.2061,34.6117,2.90868,0.211444,0.259027
-6717.89,0.870813,0.0249201,3,0,37.0007,10.8331,70.2225,36.861,14.7966,10.3544,32.089,8.53799,35.7901,81.4886,35.9928,2.99107,0.203722,0.260767
-6717.62,0.995178,0.0249201,2,0,37.3179,11.6617,70.6891,35.1734,14.5473,11.2263,32.6016,8.90881,36.2594,76.1448,34.331,2.87518,0.213168,0.264039
-6718.15,0.946861,0.0249201,3,0,43.5877,10.5621,69.6035,35.9455,12.556,10.8069,33.1343,9.4838,39.7025,77.7697,34.4134,3.95342,0.212938,0.27609
-6716.1,0.979361,0.0249201,2,0,38.9856,9.11152,68.3163,32.6787,12.9342,9.74668,30.9954,8.03401,33.6985,76.0216,30.8503,3.50573,0.21654,0.27146
-6716.38,0.80348,0.0249201,3,0,37.061,8.48892,70.5058,33.7202,13.9065,11.4105,32.9154,7.98918,36.2586,77.1353,35.2698,2.86473,0.208856,0.251364
